"字段1"
"校工会关于“青春汇”亲子音乐工作坊之音乐感受力培养开课的通知 2018-06-05"
"关于正式订购BYU语料库的通知 2018-06-05"
"劳务派遣人员招聘启事（派遣至浙江大学公共政策研究院） 2018-06-05"
"劳务派遣人员招聘启事（派遣至浙江大学建筑工程学院先进结构设计与建造国家地方联合工程研究中心） 2018-06-05"
"劳务派遣人员招聘启示（派遣至浙江大学转化医学研究院孙毅教授课题组） 2018-06-05"
"社科院关于申报2018年浙江省哲学社会科学规划“涉台研究”专项课题的通知 2018-06-05"
"关于选拔优秀学生参加 「造就新一代国际组织人才」2018浙港交流活动的通知 2018-06-05"
"关于2018年住房补贴申报人员情况的公示 2018-06-05"
"科研院关于召开浙江大学2018年国际科技合作工作会的通知 2018-06-05"
"关于举行“创响中国 · 浙江大学站——2018 浙江大学创新创业活动周开幕式暨世界青年创业论坛”的通知 2018-06-04"
"校工会关于举行“健康玉泉•阳光同行”心理咨询活动  2018-06-04"
"浙江大学关于开展第九次岗位聘任工作的通知 2018-06-04"
"浙江大学关于第九次岗位聘任工作的原则意见 2018-06-04"
"浙江大学档案馆关于调整各立卷部门档案工作小组组成人员的通知 2018-06-04"
"关于选拔联合国教科文组织青年专业人员计划推荐人选的通知 2018-06-04"
"劳务派遣人员招聘启事（派遣至浙江大学公共管理学院） 2018-06-04"
"劳务派遣人员招聘启事（派遣至浙江大学工程师学院互联网金融分院） 2018-06-04"
"中共浙江大学委员会关于朱赴东等同志职务任免的通知 2018-06-04"
"会计核算中心经费认领公告 2018-06-04"
"浙江大学关于调整浙江大学国际战略与法律研究院等研究机构负责人的通知 2018-06-04"
"营业用房公开招租公告（昙花庵路284-3号商铺） 2018-06-04"
"中共浙江大学委员会办公室 浙江大学校长办公室印发《浙江大学重要工作事项请示报告制度（试行）》的通知 2018-06-04"
"浙江大学关于调整浙江省法制研究所负责人的通知  2018-06-04"
"关于设计师之家资源库的开通试用通知  2018-06-04"
"关于洛克菲勒大学出版社(RUP)电子期刊数据库的开通试用通知 2018-06-04"
"浙江大学关于人事处等单位内设机构负责人职务任免及就业指导与服务中心内设机构调整的通知 2018-06-04"
"中共浙江大学委员会关于党委组织部内设机构调整及内设机构负责人职务任免的通知 2018-06-04"
"关于2018年6月全国大学外语等级考试及浙江省英语三级准考证开通打印的通知 2018-06-04"
"（时间更新）关于召开浙江大学进一步深化“一流管理、服务师生”主题活动动员大会的通知 2018-06-01"
"离退休工作处关于开展“讴歌新时代  永远跟党走”主题征文的通知 2018-06-01"
"关于对浙江大学光华法学院原院长朱新力同志离任经济责任进行审计的通告 2018-06-01"
"关于对浙江大学求是学院原院长吴敏同志离任经济责任进行审计的通告 2018-06-01"
"关于对浙江大学竺可桢学院原常务副院长邱利民同志离任经济责任进行审计的通告 2018-06-01"
"研究生院关于申请2018年“浙江大学资助博士研究生开展国际合作研究与交流”项目的通知 2018-06-01"
"科研院转发教育部办公厅关于推荐2018年度高等学校科学研究优秀成果奖（科学技术）的通知 2018-06-01"
"关于举办Adeo Ressi浙江大学交流活动的通知 2018-06-01"
"研究生院关于2018年国家留学基金委行前培训会议的通知 2018-06-01"
"关于组织浙江大学2018年“学思践悟新思想•青春奉献新时代”暑期大学生社会实践专题培训会的通知   2018-06-01"
"关于对浙江大学海洋学院原院长陈鹰同志离任经济责任进行审计的通告 2018-05-31"
"研究生院关于申请2018年“浙江大学陆氏研究生教育国际交流基金”资助项目的通知 2018-05-31"
"科研院关于召开2018年第三期知识产权培训的通知 2018-05-31"
"先研院关于征集2018年中国兵器装备集团有限公司创新基金项目的通知 2018-05-31"
"保密办关于销毁保密材料具体安排的通知 2018-05-31"
"关于开展2018年“廉洁教育季”系列活动的通知 2018-05-31"
"关于EBSCO平台AAS Historical Periodicals美洲回溯典藏文献数据库的开通试用通知 2018-05-31"
"关于2018年上半年具有研究生学历专业技术人员确定中级职务的通知 2018-05-31"
"计财处转发《浙江省会计人员服务中心关于举办2018年度全省高级会计人员继续教育培训班的通知》 2018-05-31"
"本科生院关于查看2018-2019学年秋冬学期本科生课程安排的通知 2018-05-31"
"浙江大学高等教育研究会关于2017年度立项课题中期检查的通知 2018-05-31"
"营业用房公开招租公告（定安路46号三楼） 2018-05-31"
"劳务派遣人员招聘启事（派遣至浙江大学电气工程学院） 2018-05-31"
"关于评选2018年浙江大学优秀辅导员的通知 2018-05-31"
"浙江大学关于开展2018年研究生社会实践行前培训的通知 2018-05-30"
"中共浙江大学委员会 浙江大学关于纪律检查委员会办公室（监察处）等部门内设机构负责人职务任免的通知 2018-05-30"
"中共浙江大学委员会 浙江大学印发《浙江大学国际学生教育管理机制体制改革方案》的通知 2018-05-30"
"外事处关于举办2018年“Discover ZJU”人物摄影大赛的通知 2018-05-30"
"科研院关于2018年装备预研领域基金指南征集工作的通知 2018-05-30"
"科研院关于2018年装备预研共用技术指南征集工作的通知 2018-05-30"
"关于清理会议类到期项目经费的通知 2018-05-30"
"社科院关于2018年度教育部哲学社会科学研究重大课题攻关项目招标工作的通知 2018-05-30"
"社科院关于第八届“胡绳青年学术奖”评奖工作的通知 2018-05-30"
"关于举办第三十期“研究生辅导员Seminar”的通知 2018-05-30"
"【更新】关于举行浙江大学第八届研究生“五好”导学团队答辩评审会的通知 2018-05-30"
"会计核算中心经费认领公告 2018-05-30"
"科研院转发浙江省科学技术厅关于组织申报2019年度浙江省“一带一路”国际科技合作项目的通知 2018-05-29"
"劳务派遣人员招聘启事（派遣至浙江大学农业与生物技术学院） 2018-05-29"
"劳务派遣人员招聘启事（派遣至浙江大学医学院周春研究员课题组） 2018-05-29"
"劳务派遣人员招聘启事（派遣至浙江大学医学院孙洁研究员课题组） 2018-05-29"
"关于对浙江大学第四届学生人文社会科学研究优秀科研成果奖获奖成果进行公示的通知 2018-05-29"
"(时间更新）关于召开2018年就业工作会议的通知 2018-05-29"
"关于浙江大学第三届大学生英语阅读竞赛和第六届大学生英语写作竞赛的赛程安排通知 2018-05-28"
"关于公布第五批浙江省“2011协同创新中心”认定结果的通知 2018-05-28"
"2018年博士研究生学术新星培养计划项目入选人员资助发放及派出管理说明 2018-05-28"
"西溪校区开展急救知识培训的通知 2018-05-28"
"中共浙江大学委员会关于夏标泉同志任职的通知 2018-05-28"
"中共浙江大学委员会  浙江大学关于地方合作处机构调整的通知 2018-05-28"
"浙江大学关于夏文莉等任职的通知  2018-05-28"
"浙江大学关于调整浙江大学建筑设计研究院有限公司董事会、监事会组成人员的通知 2018-05-28"
"中共浙江大学委员会关于钟永萍同志任职的通知 2018-05-28"
"社科院关于教育部哲学社会科学研究重大课题攻关项目2018年度中期检查工作的通知 2018-05-28"
"关于对浙江大学管理学院原院长吴晓波同志离任经济责任进行审计的通告 2018-05-28"
"浙江大学红十字会关于开展无偿献血与造血干细胞捐献活动的通知 2018-05-28"
"厚积薄发 博观约取——谈谈本科生如何学习 2018-05-25"
"劳务派遣人员招聘启事（派遣至浙江大学社会科学研究院） 2018-05-25"
"浙江大学2018年上半年实验技术等事业性质岗位公开招聘公告 2018-05-25"
"科研院转发浙江省科学技术厅关于征求《浙江省深化科学技术奖励制度改革方案（征求意见稿）》意见的函 2018-05-24"
"科研院转发国家自然科学基金委员会关于发布“关于征集2019年度工程与材料科学领域重大项目立项建议”的通告 2018-05-24"
"劳务派遣人员招聘启事（派遣至浙江大学计划财务处） 2018-05-24"
"劳务派遗人员招聘启事（派遣至浙江大学新农村发展研究院） 2018-05-24"
"浙江大学艺术与考古博物馆校内招聘启事 2018-05-24"
"关于举办“校长有约”活动的通知（更新） 2018-05-24"
"中共浙江大学委员会 浙江大学关于支持之江实验室建设的若干意见 2018-05-24"
"社科院关于征集2018年度涉台委托调研课题的通知 2018-05-24"
"转发浙江省科学技术厅关于征求《浙江省深化科学技术奖励制度改革方案（征求意见稿）》意见的函 2018-05-24"
